run_id,condition,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260522_113819_001,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_001,completed,20260522_113823,2026-05-22T11:40:09+0200,2,6,1,2,18,8,40531,22249,62780,105.6289,Candidate C,consensus,Candidate C,1,0.953017,0.941457,0.963696,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_001/metadata.json,0,0,3,0,0.963696,0.941457,0.953899
low_treatment_20260522_113819_002,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_002,completed,20260522_114012,2026-05-22T11:52:11+0200,2,6,1,2,18,8,41064,24285,65349,719.2499,Candidate C,consensus,Candidate C,1,0.939701,0.927376,0.95788,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_002/metadata.json,0,0,3,0,0.927376,0.95788,0.933848
low_treatment_20260522_113819_003,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_003,completed,20260522_115214,2026-05-22T11:57:28+0200,5,15,1,2,45,17,107734,56821,164555,313.9453,Candidate C,max_round_majority_vote,Candidate C,1,0.922937,0.90984,0.931555,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_003/metadata.json,0,1,2,0,0.931555,0.927416,0.90984
low_treatment_20260522_113819_004,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_004,completed,20260522_115731,2026-05-22T12:01:14+0200,3,9,3,6,27,15,72393,40149,112542,222.5341,Candidate C,consensus,Candidate C,1,0.953092,0.946748,0.95971,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_004/metadata.json,0,0,3,0,0.95971,0.946748,0.952818
low_treatment_20260522_113819_005,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_005,completed,20260522_120117,2026-05-22T12:06:23+0200,5,15,4,8,45,23,123290,57364,180654,305.9184,Candidate C,consensus,Candidate C,1,0.947796,0.937289,0.959108,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_005/metadata.json,0,0,3,0,0.959108,0.937289,0.946992
low_treatment_20260522_113819_006,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_006,completed,20260522_120626,2026-05-22T12:10:37+0200,4,12,2,4,36,16,93295,47342,140637,251.0615,Candidate C,consensus,Candidate C,1,0.933463,0.918252,0.950525,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_006/metadata.json,0,0,3,0,0.931613,0.918252,0.950525
low_treatment_20260522_113819_007,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_007,completed,20260522_121040,2026-05-22T12:14:37+0200,4,12,1,2,36,14,85633,44825,130458,236.8889,Candidate C,consensus,Candidate C,1,0.944311,0.933936,0.958828,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_007/metadata.json,0,0,3,0,0.940169,0.958828,0.933936
low_treatment_20260522_113819_008,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_008,completed,20260522_121440,2026-05-22T12:18:02+0200,3,9,4,8,27,17,78915,37142,116057,201.3949,Candidate C,consensus,Candidate C,1,0.949852,0.941313,0.9624,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_008/metadata.json,0,0,3,0,0.941313,0.9624,0.945844
low_treatment_20260522_113819_009,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_009,completed,20260522_121805,2026-05-22T12:20:15+0200,2,6,1,2,18,8,39771,24002,63773,129.8085,Candidate C,consensus,Candidate C,1,0.947333,0.94164,0.950478,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_009/metadata.json,0,0,3,0,0.949881,0.950478,0.94164
low_treatment_20260522_113819_010,low,treatment,True,transparency_experiment,low_treatment_20260522_113819_010,completed,20260522_122018,2026-05-22T12:25:02+0200,4,12,3,6,36,18,98074,48346,146420,284.7844,Candidate C,consensus,Candidate C,1,0.939661,0.927151,0.945995,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_113819_010/metadata.json,0,0,3,0,0.945995,0.945838,0.927151
