run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260606_092841_001,low,treatment,low_treatment_20260606_092841_001,completed,20260606_092845,2026-06-06T09:33:07+0200,2,6,3,6,18,12,81096,52702,133798,318284.89,262.6755,Candidate B,consensus,Candidate C,0,0.953596,0.949752,0.955593,0.953596,0.611111,0.582753,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_001/metadata.json,0,3,0,0,0.955444,0.949752,0.955593
low_treatment_20260606_092841_002,low,treatment,low_treatment_20260606_092841_002,completed,20260606_093310,2026-06-06T09:38:38+0200,2,6,3,6,18,12,86472,58107,144579,318284.89,328.0155,Candidate C,consensus,Candidate C,1,0.952093,0.944342,0.960952,0.952093,0.611111,0.581835,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_002/metadata.json,0,0,3,0,0.944342,0.960952,0.950986
low_treatment_20260606_092841_003,low,treatment,low_treatment_20260606_092841_003,completed,20260606_093842,2026-06-06T09:46:50+0200,3,9,7,14,27,23,142229,90512,232741,318284.89,488.7981,Candidate C,consensus,Candidate C,1,0.948973,0.94126,0.954854,0.948973,0.888889,0.843532,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_003/metadata.json,0,0,3,0,0.954854,0.94126,0.950804
low_treatment_20260606_092841_004,low,treatment,low_treatment_20260606_092841_004,completed,20260606_094653,2026-06-06T09:55:18+0200,3,9,10,20,27,29,156968,93017,249985,318284.89,504.3354,Candidate C,consensus,Candidate C,1,0.944928,0.938108,0.95537,0.944928,0.666667,0.629952,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_004/metadata.json,0,0,3,0,0.95537,0.941305,0.938108
low_treatment_20260606_092841_005,low,treatment,low_treatment_20260606_092841_005,completed,20260606_095521,2026-06-06T10:01:07+0200,2,6,6,12,18,18,98242,63675,161917,318284.89,346.1305,Candidate C,consensus,Candidate C,1,0.947587,0.939086,0.952419,0.947587,0.611111,0.579081,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_005/metadata.json,0,0,3,0,0.939086,0.951256,0.952419
low_treatment_20260606_092841_006,low,treatment,low_treatment_20260606_092841_006,completed,20260606_100110,2026-06-06T10:08:42+0200,3,9,5,10,27,19,127580,82400,209980,318284.89,452.0411,Candidate C,consensus,Candidate C,1,0.948319,0.942623,0.951518,0.948319,0.833333,0.790266,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_006/metadata.json,0,0,3,0,0.942623,0.950815,0.951518
low_treatment_20260606_092841_007,low,treatment,low_treatment_20260606_092841_007,completed,20260606_100845,2026-06-06T10:14:26+0200,2,6,8,16,18,22,113909,62884,176793,318284.89,340.7741,Candidate C,consensus,Candidate C,1,0.959155,0.957681,0.961221,0.959155,0.5,0.479577,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_007/metadata.json,0,0,3,0,0.961221,0.958564,0.957681
low_treatment_20260606_092841_008,low,treatment,low_treatment_20260606_092841_008,completed,20260606_101429,2026-06-06T10:22:57+0200,3,9,9,18,26,27,154671,93877,248548,318284.89,508.2623,Candidate C,consensus,Candidate C,1,0.948712,0.942359,0.952727,0.948712,0.611111,0.579768,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_008/metadata.json,0,0,3,0,0.942359,0.952727,0.951049
low_treatment_20260606_092841_009,low,treatment,low_treatment_20260606_092841_009,completed,20260606_102300,2026-06-06T10:30:05+0200,3,9,5,10,27,19,128915,80666,209581,318284.89,424.5432,Candidate C,consensus,Candidate C,1,0.949742,0.947425,0.952437,0.949742,0.666667,0.633162,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_009/metadata.json,0,0,3,0,0.947425,0.949363,0.952437
low_treatment_20260606_092841_010,low,treatment,low_treatment_20260606_092841_010,completed,20260606_103008,2026-06-06T10:35:17+0200,2,6,3,6,18,12,82680,59994,142674,318284.89,309.3252,Candidate C,consensus,Candidate C,1,0.954508,0.950099,0.961094,0.954508,0.611111,0.58331,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260606_092841_010/metadata.json,0,0,3,0,0.952331,0.950099,0.961094
