run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_emily_brooks_james_carter,similarity_emily_brooks_sarah_mitchell,similarity_james_carter_sarah_mitchell
low_treatment_20260602_165012_001,low,treatment,low_treatment_20260602_165012_001,completed,20260602_165015,2026-06-02T16:58:33+0200,5,15,11,22,45,37,181165,92640,273805,322704.23,497.3062,Candidate C,consensus,Candidate C,1,0.9469,0.938828,0.956627,0.9469,0.388889,0.368239,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_001/metadata.json,0,0,3,0,0.938828,0.956627,0.945244
low_treatment_20260602_165012_002,low,treatment,low_treatment_20260602_165012_002,completed,20260602_165835,2026-06-02T17:06:42+0200,5,15,9,18,45,33,174804,88258,263062,322704.23,486.7887,Candidate C,max_round_majority_vote,Candidate C,1,0.93514,0.933214,0.936484,0.93514,0.388889,0.363666,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_002/metadata.json,0,1,2,0,0.935722,0.933214,0.936484
low_treatment_20260602_165012_003,low,treatment,low_treatment_20260602_165012_003,completed,20260602_170645,2026-06-02T17:15:30+0200,5,15,15,30,45,45,203510,92277,295787,322704.23,524.4437,,max_round_no_majority,Candidate C,0,0.932007,0.927841,0.934255,0.932007,0.333333,0.310669,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_003/metadata.json,1,1,1,0,0.927841,0.933925,0.934255
low_treatment_20260602_165012_004,low,treatment,low_treatment_20260602_165012_004,completed,20260602_171532,2026-06-02T17:24:14+0200,5,15,8,16,45,31,182102,93762,275864,322704.23,521.3571,,max_round_no_majority,Candidate C,0,0.935805,0.925281,0.946559,0.935805,0.444444,0.415913,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_004/metadata.json,0,1,1,1,0.925281,0.946559,0.935574
low_treatment_20260602_165012_005,low,treatment,low_treatment_20260602_165012_005,completed,20260602_172417,2026-06-02T17:32:22+0200,5,15,8,16,44,31,173434,87354,260788,322704.23,484.2903,Candidate C,max_round_majority_vote,Candidate C,1,0.940935,0.929352,0.950171,0.940935,0.388889,0.365919,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_005/metadata.json,0,1,2,0,0.950171,0.943283,0.929352
low_treatment_20260602_165012_006,low,treatment,low_treatment_20260602_165012_006,completed,20260602_173225,2026-06-02T17:43:06+0200,5,15,25,50,45,65,246743,110222,356965,322704.23,641.5674,Candidate C,consensus,Candidate C,1,0.938049,0.929619,0.946347,0.938049,0.388889,0.364797,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_006/metadata.json,0,0,3,0,0.946347,0.938181,0.929619
low_treatment_20260602_165012_007,low,treatment,low_treatment_20260602_165012_007,completed,20260602_174309,2026-06-02T17:52:02+0200,5,15,15,30,45,45,197851,93821,291672,322704.23,533.0365,Candidate C,max_round_majority_vote,Candidate C,1,0.944027,0.93365,0.949235,0.944027,0.444444,0.419567,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_007/metadata.json,1,0,2,0,0.949235,0.949195,0.93365
low_treatment_20260602_165012_008,low,treatment,low_treatment_20260602_165012_008,completed,20260602_175205,2026-06-02T18:01:12+0200,5,15,18,36,45,51,211567,96004,307571,322704.23,546.6621,Candidate C,consensus,Candidate C,1,0.945547,0.936585,0.953341,0.945547,0.388889,0.367713,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_008/metadata.json,0,0,3,0,0.936585,0.953341,0.946714
low_treatment_20260602_165012_009,low,treatment,low_treatment_20260602_165012_009,completed,20260602_180115,2026-06-02T18:09:27+0200,5,15,7,14,45,29,166893,88651,255544,322704.23,492.0142,Candidate C,max_round_majority_vote,Candidate C,1,0.914058,0.884536,0.934573,0.914058,0.388889,0.355467,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_009/metadata.json,1,0,2,0,0.884536,0.934573,0.923065
low_treatment_20260602_165012_010,low,treatment,low_treatment_20260602_165012_010,completed,20260602_180930,2026-06-02T18:17:50+0200,5,15,11,22,45,37,179154,92248,271402,322704.23,500.9021,Candidate C,max_round_majority_vote,Candidate C,1,0.941202,0.932467,0.950301,0.941202,0.388889,0.366023,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260602_165012_010/metadata.json,0,1,2,0,0.932467,0.940839,0.950301
