run_id,condition,context_transparency_condition,input_history_scope,input_thought_history,smm_memory_scope,thought_history_items,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260525_120520_001,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_001,completed,20260525_120525,2026-05-25T12:12:37+0200,3,9,4,8,26,17,119688,85967,205655,431.7594,Candidate B,consensus,Candidate C,0,0.954282,0.945343,0.962238,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_001/metadata.json,0,3,0,0,0.945343,0.962238,0.955264
low_treatment_20260525_120520_002,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_002,completed,20260525_121240,2026-05-25T12:20:46+0200,3,9,5,10,27,19,125558,93470,219028,485.6366,Candidate B,consensus,Candidate C,0,0.94128,0.935558,0.945778,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_002/metadata.json,0,3,0,0,0.945778,0.935558,0.942503
low_treatment_20260525_120520_003,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_003,completed,20260525_122049,2026-05-25T12:41:33+0200,4,12,9,18,36,30,183871,123640,307511,1243.8728,Candidate C,consensus,Candidate C,1,0.950274,0.946357,0.955517,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_003/metadata.json,0,0,3,0,0.946357,0.955517,0.948948
low_treatment_20260525_120520_004,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_004,completed,20260525_124136,2026-05-25T12:51:27+0200,4,12,4,8,34,20,149810,112005,261815,591.1512,Candidate B,consensus,Candidate C,0,0.956662,0.953618,0.960833,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_004/metadata.json,0,3,0,0,0.960833,0.955535,0.953618
low_treatment_20260525_120520_005,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_005,completed,20260525_125130,2026-05-25T12:57:10+0200,2,6,6,12,16,18,101440,63361,164801,340.0075,Candidate A,consensus,Candidate C,0,0.964281,0.962921,0.965522,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_005/metadata.json,3,0,0,0,0.965522,0.962921,0.964399
low_treatment_20260525_120520_006,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_006,completed,20260525_125713,2026-05-25T13:08:49+0200,4,12,10,20,34,32,188423,130936,319359,696.1377,Candidate C,consensus,Candidate C,1,0.950264,0.943866,0.954426,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_006/metadata.json,0,0,3,0,0.954426,0.943866,0.952501
low_treatment_20260525_120520_007,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_007,completed,20260525_130853,2026-05-25T13:22:53+0200,5,14,14,28,43,42,237642,155533,393175,840.3572,Candidate C,max_round_majority_vote,Candidate C,1,0.951003,0.938331,0.963878,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_007/metadata.json,0,0,2,1,0.9508,0.963878,0.938331
low_treatment_20260525_120520_008,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_008,completed,20260525_132257,2026-05-25T13:34:11+0200,4,12,8,16,34,28,172978,128168,301146,673.8931,Candidate A,consensus,Candidate C,0,0.946585,0.937283,0.953746,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_008/metadata.json,3,0,0,0,0.937283,0.948726,0.953746
low_treatment_20260525_120520_009,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_009,completed,20260525_133414,2026-05-25T13:39:42+0200,2,6,4,8,17,14,85818,61889,147707,328.1263,Candidate B,consensus,Candidate C,0,0.956901,0.9529,0.963676,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_009/metadata.json,0,3,0,0,0.954128,0.963676,0.9529
low_treatment_20260525_120520_010,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260525_120520_010,completed,20260525_133945,2026-05-25T13:45:30+0200,2,6,4,8,18,14,90663,64557,155220,344.5857,Candidate B,consensus,Candidate C,0,0.931832,0.925978,0.940936,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260525_120520_010/metadata.json,0,3,0,0,0.925978,0.928583,0.940936
