run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260507_140016_001,low,baseline,False,transparency_experiment,completed,20260507_210758,2026-05-07T21:09:30+0200,5,15,0,0,0,15,25232,10470,35702,91.9981,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_001/metadata.json,2,0,1,0,,,
low_baseline_20260507_140016_002,low,baseline,False,transparency_experiment,completed,20260507_210933,2026-05-07T21:11:08+0200,5,15,0,0,0,15,25225,10464,35689,94.7357,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_002/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_003,low,baseline,False,transparency_experiment,completed,20260507_211111,2026-05-07T21:12:27+0200,5,15,0,0,0,15,25106,9409,34515,76.3933,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_003/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_004,low,baseline,False,transparency_experiment,completed,20260507_211230,2026-05-07T21:14:02+0200,5,15,0,0,0,15,25099,11066,36165,91.5416,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_004/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_005,low,baseline,False,transparency_experiment,completed,20260507_211405,2026-05-07T21:15:52+0200,5,15,0,0,0,15,25361,11797,37158,107.2742,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_005/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_006,low,baseline,False,transparency_experiment,completed,20260507_211555,2026-05-07T21:16:34+0200,2,6,0,0,0,6,8999,4329,13328,38.7598,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_006/metadata.json,0,3,0,0,,,
low_baseline_20260507_140016_007,low,baseline,False,transparency_experiment,completed,20260507_211637,2026-05-07T21:18:01+0200,5,15,0,0,0,15,25057,9579,34636,84.2244,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_007/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_008,low,baseline,False,transparency_experiment,completed,20260507_211804,2026-05-07T21:19:41+0200,5,15,0,0,0,15,25127,10912,36039,96.5974,Candidate C,max_round_majority_vote,Candidate C,1,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_008/metadata.json,0,1,2,0,,,
low_baseline_20260507_140016_009,low,baseline,False,transparency_experiment,completed,20260507_211944,2026-05-07T21:21:01+0200,5,15,0,0,0,15,25141,8993,34134,77.3206,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_009/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_010,low,baseline,False,transparency_experiment,completed,20260507_212104,2026-05-07T21:22:32+0200,5,15,0,0,0,15,25224,10390,35614,87.917,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_010/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_011,low,baseline,False,transparency_experiment,completed,20260507_212235,2026-05-07T21:23:56+0200,5,15,0,0,0,15,25024,9788,34812,80.9331,Candidate A,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_011/metadata.json,3,0,0,0,,,
low_baseline_20260507_140016_012,low,baseline,False,transparency_experiment,completed,20260507_212359,2026-05-07T21:25:26+0200,5,15,0,0,0,15,25069,10514,35583,86.6382,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_012/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_013,low,baseline,False,transparency_experiment,completed,20260507_212529,2026-05-07T21:26:51+0200,5,15,0,0,0,15,25361,10624,35985,82.1643,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_013/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_014,low,baseline,False,transparency_experiment,completed,20260507_212654,2026-05-07T21:28:10+0200,5,15,0,0,0,15,25048,9446,34494,75.6072,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_014/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_015,low,baseline,False,transparency_experiment,completed,20260507_212813,2026-05-07T21:29:25+0200,4,12,0,0,0,12,19410,8694,28104,71.4076,Candidate D,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_015/metadata.json,0,0,0,3,,,
low_baseline_20260507_140016_016,low,baseline,False,transparency_experiment,completed,20260507_212928,2026-05-07T21:30:49+0200,5,15,0,0,0,15,25283,9570,34853,81.6166,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_016/metadata.json,0,2,1,0,,,
low_baseline_20260507_140016_017,low,baseline,False,transparency_experiment,completed,20260507_213052,2026-05-07T21:31:26+0200,2,6,0,0,0,6,9046,4114,13160,33.6378,Candidate B,consensus,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_017/metadata.json,0,3,0,0,,,
low_baseline_20260507_140016_018,low,baseline,False,transparency_experiment,completed,20260507_213129,2026-05-07T21:32:35+0200,5,15,0,0,0,15,25325,8626,33951,65.7584,Candidate A,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_018/metadata.json,2,1,0,0,,,
low_baseline_20260507_140016_019,low,baseline,False,transparency_experiment,completed,20260507_213238,2026-05-07T21:34:02+0200,5,15,0,0,0,15,25160,10327,35487,84.3779,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_019/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_020,low,baseline,False,transparency_experiment,completed,20260507_213405,2026-05-07T21:35:40+0200,5,15,0,0,0,15,25299,11029,36328,95.4184,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_020/metadata.json,1,2,0,0,,,
low_baseline_20260507_140016_021,low,baseline,False,transparency_experiment,completed,20260507_213543,2026-05-07T21:37:15+0200,5,15,0,0,0,15,25188,11399,36587,91.7948,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_021/metadata.json,0,1,1,1,,,
low_baseline_20260507_140016_022,low,baseline,False,transparency_experiment,completed,20260507_213718,2026-05-07T21:38:36+0200,5,15,0,0,0,15,25162,9324,34486,77.8961,,max_round_no_majority,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_022/metadata.json,1,1,1,0,,,
low_baseline_20260507_140016_023,low,baseline,False,transparency_experiment,completed,20260507_213840,2026-05-07T21:40:16+0200,5,15,0,0,0,15,25173,11182,36355,96.4119,Candidate B,max_round_majority_vote,Candidate C,0,,,,not_applicable,,01_data/raw/simulations/low/low_baseline_20260507_140016_023/metadata.json,0,2,1,0,,,
