run_id,condition,context_transparency_condition,input_history_scope,input_thought_history,smm_memory_scope,thought_history_items,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260522_205259_001,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_001,completed,20260522_205302,2026-05-22T21:01:15+0200,2,6,3,6,16,12,75139,69084,144223,493.2197,Candidate C,consensus,Candidate C,1,0.942221,0.9342,0.953252,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_001/metadata.json,0,0,3,0,0.953252,0.9342,0.939212
low_treatment_20260522_205259_002,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_002,completed,20260522_210119,2026-05-22T21:13:26+0200,3,9,7,14,24,23,130617,98011,228628,727.268,Candidate C,consensus,Candidate C,1,0.957543,0.953647,0.963684,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_002/metadata.json,0,0,3,0,0.963684,0.955298,0.953647
low_treatment_20260522_205259_003,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_003,completed,20260522_211329,2026-05-22T21:19:13+0200,2,6,4,8,18,14,82515,62360,144875,344.2622,Candidate C,consensus,Candidate C,1,0.960089,0.957016,0.964054,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_003/metadata.json,0,0,3,0,0.959196,0.957016,0.964054
low_treatment_20260522_205259_004,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_004,completed,20260522_211916,2026-05-22T21:25:03+0200,2,6,3,6,18,12,75098,63024,138122,347.2631,Candidate C,consensus,Candidate C,1,0.948388,0.939267,0.960628,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_004/metadata.json,0,0,3,0,0.960628,0.94527,0.939267
low_treatment_20260522_205259_005,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_005,completed,20260522_212506,2026-05-22T21:32:28+0200,3,9,5,10,27,19,113908,88273,202181,441.7955,Candidate B,consensus,Candidate C,0,0.935643,0.916953,0.951548,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_005/metadata.json,0,3,0,0,0.916953,0.938429,0.951548
low_treatment_20260522_205259_006,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_006,completed,20260522_213231,2026-05-22T21:37:54+0200,2,6,3,6,18,12,75992,63543,139535,323.1819,Candidate B,consensus,Candidate C,0,0.932748,0.918916,0.957739,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_006/metadata.json,0,3,0,0,0.957739,0.918916,0.921588
low_treatment_20260522_205259_007,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_007,completed,20260522_213757,2026-05-22T21:43:35+0200,2,6,5,10,17,16,91883,66560,158443,338.3094,Candidate B,consensus,Candidate C,0,0.936037,0.925568,0.948673,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_007/metadata.json,0,3,0,0,0.93387,0.925568,0.948673
low_treatment_20260522_205259_008,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_008,completed,20260522_214339,2026-05-22T21:48:11+0200,2,6,1,2,17,8,60572,54910,115482,272.3342,Candidate C,consensus,Candidate C,1,0.937099,0.926846,0.947029,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_008/metadata.json,0,0,3,0,0.947029,0.926846,0.937423
low_treatment_20260522_205259_009,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_009,completed,20260522_214814,2026-05-22T21:53:50+0200,2,6,5,10,17,16,87569,66018,153587,335.4445,Candidate C,consensus,Candidate C,1,0.943125,0.942049,0.9452,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_009/metadata.json,0,0,3,0,0.942049,0.942127,0.9452
low_treatment_20260522_205259_010,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260522_205259_010,completed,20260522_215353,2026-05-22T21:59:28+0200,2,6,5,10,18,16,92272,65167,157439,334.8725,Candidate C,consensus,Candidate C,1,0.950207,0.945366,0.955368,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260522_205259_010/metadata.json,0,0,3,0,0.955368,0.945366,0.949887
