run_id,condition,context_transparency_condition,input_history_scope,input_thought_history,smm_memory_scope,thought_history_items,smm_mode,explicit_smm_memory,run_tag,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,memory_similarity_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260526_231706_001,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_001,completed,20260526_231709,2026-05-26T23:22:32+0200,2,6,7,14,18,20,102331,64714,167045,322.4592,Candidate D,consensus,Candidate C,0,0.953208,0.94622,0.957677,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_001/metadata.json,0,0,0,3,0.957677,0.955728,0.94622
low_treatment_20260526_231706_002,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_002,completed,20260526_232235,2026-05-26T23:30:48+0200,3,9,5,10,27,19,120032,93996,214028,493.0463,Candidate A,consensus,Candidate C,0,0.938966,0.92535,0.954585,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_002/metadata.json,3,0,0,0,0.92535,0.936963,0.954585
low_treatment_20260526_231706_003,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_003,completed,20260526_233051,2026-05-26T23:36:25+0200,2,6,4,8,18,14,87001,61630,148631,333.4616,Candidate B,consensus,Candidate C,0,0.954985,0.952283,0.958378,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_003/metadata.json,0,3,0,0,0.958378,0.954295,0.952283
low_treatment_20260526_231706_004,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_004,completed,20260526_233628,2026-05-26T23:41:43+0200,2,6,4,8,18,14,82770,59790,142560,315.0256,Candidate B,consensus,Candidate C,0,0.949053,0.940213,0.960026,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_004/metadata.json,0,3,0,0,0.960026,0.946921,0.940213
low_treatment_20260526_231706_005,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_005,completed,20260526_234146,2026-05-26T23:47:01+0200,2,6,2,4,17,10,80035,59732,139767,314.6461,Candidate C,consensus,Candidate C,1,0.958659,0.952002,0.965843,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_005/metadata.json,0,0,3,0,0.965843,0.952002,0.958133
low_treatment_20260526_231706_006,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_006,completed,20260526_234704,2026-05-26T23:52:47+0200,2,6,2,4,18,10,76100,63244,139344,343.194,Candidate C,consensus,Candidate C,1,0.954495,0.954029,0.955188,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_006/metadata.json,0,0,3,0,0.955188,0.954029,0.954267
low_treatment_20260526_231706_007,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_007,completed,20260526_235251,2026-05-26T23:58:10+0200,2,6,2,4,17,10,71797,58909,130706,319.7614,Candidate C,consensus,Candidate C,1,0.944277,0.937753,0.951121,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_007/metadata.json,0,0,3,0,0.943956,0.937753,0.951121
low_treatment_20260526_231706_008,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_008,completed,20260526_235814,2026-05-27T00:03:49+0200,2,6,3,6,18,12,80878,63705,144583,335.1312,Candidate C,consensus,Candidate C,1,0.953335,0.948273,0.962491,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_008/metadata.json,0,0,3,0,0.962491,0.948273,0.949242
low_treatment_20260526_231706_009,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_009,completed,20260527_000352,2026-05-27T00:11:14+0200,3,9,2,4,26,13,108403,84815,193218,441.5435,Candidate C,consensus,Candidate C,1,0.942979,0.934387,0.94795,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_009/metadata.json,0,0,3,0,0.94795,0.934387,0.946599
low_treatment_20260526_231706_010,low,low,current_round,False,current_round,0,treatment,True,transparency_experiment,low_treatment_20260526_231706_010,completed,20260527_001117,2026-05-27T00:17:16+0200,2,6,3,6,17,12,83338,68404,151742,359.5843,Candidate C,consensus,Candidate C,1,0.954029,0.950224,0.958388,embedding_cosine,nvidia/llama-nemotron-embed-1b-v2,01_data/raw/simulations/low/low_treatment_20260526_231706_010/metadata.json,0,0,3,0,0.953476,0.958388,0.950224
