run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,mean_gold_standard_alignment,min_gold_standard_alignment,max_gold_standard_alignment,context_alignment,memory_similarity_method,gold_standard_alignment_method,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,gold_alignment_agent_1,gold_alignment_agent_2,gold_alignment_agent_3,gold_check_agent_1_a_risks,gold_check_agent_1_b_risks,gold_check_agent_1_c_attention,gold_check_agent_1_c_calmness,gold_check_agent_1_c_crew_fit,gold_check_agent_1_c_reliability,gold_check_agent_1_d_risks,gold_check_agent_1_favorite_is_c,gold_check_agent_2_a_risks,gold_check_agent_2_b_risks,gold_check_agent_2_c_attention,gold_check_agent_2_c_calmness,gold_check_agent_2_c_crew_fit,gold_check_agent_2_c_reliability,gold_check_agent_2_d_risks,gold_check_agent_2_favorite_is_c,gold_check_agent_3_a_risks,gold_check_agent_3_b_risks,gold_check_agent_3_c_attention,gold_check_agent_3_c_calmness,gold_check_agent_3_c_crew_fit,gold_check_agent_3_c_reliability,gold_check_agent_3_d_risks,gold_check_agent_3_favorite_is_c,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260508_195017_001,low,baseline,False,transparency_experiment,completed,20260509_011903,2026-05-09T01:20:31+0200,5,15,0,0,0,15,25063,10465,35528,88.2599,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_001/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_002,low,baseline,False,transparency_experiment,completed,20260509_012034,2026-05-09T01:21:45+0200,4,12,0,0,0,12,19351,8371,27722,71.0903,Candidate B,consensus,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_002/metadata.json,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_003,low,baseline,False,transparency_experiment,completed,20260509_012148,2026-05-09T01:23:21+0200,5,15,0,0,0,15,25154,11814,36968,92.5939,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_003/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_004,low,baseline,False,transparency_experiment,completed,20260509_012324,2026-05-09T01:25:19+0200,5,15,0,0,0,15,25160,13243,38403,115.275,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_004/metadata.json,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_005,low,baseline,False,transparency_experiment,completed,20260509_012522,2026-05-09T01:27:14+0200,5,15,0,0,0,15,25064,9932,34996,112.3089,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_005/metadata.json,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_006,low,baseline,False,transparency_experiment,completed,20260509_012717,2026-05-09T01:28:47+0200,5,15,0,0,0,15,25245,11203,36448,89.7968,Candidate C,max_round_majority_vote,Candidate C,1,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_006/metadata.json,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_007,low,baseline,False,transparency_experiment,completed,20260509_012849,2026-05-09T01:30:27+0200,5,15,0,0,0,15,24925,10276,35201,97.3069,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_007/metadata.json,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_008,low,baseline,False,transparency_experiment,completed,20260509_013030,2026-05-09T01:32:06+0200,5,15,0,0,0,15,24902,10892,35794,96.0194,Candidate C,consensus,Candidate C,1,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_008/metadata.json,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_009,low,baseline,False,transparency_experiment,completed,20260509_013209,2026-05-09T01:33:53+0200,5,15,0,0,0,15,25167,13152,38319,104.2739,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_009/metadata.json,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_baseline_20260508_195017_010,low,baseline,False,transparency_experiment,completed,20260509_013356,2026-05-09T01:35:36+0200,5,15,0,0,0,15,25336,11962,37298,99.3483,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,not_applicable,,01_data/raw/simulations/low/low_baseline_20260508_195017_010/metadata.json,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
